Hour    	Won/Loss	Players
12:00:00 AM	,383  	Haley Hall,Heath Medina,Deniz Howarth,Nada Ferreira 
01:00:00 AM	,273	        Mcfadden Wasim, Norman Cooper, Pruitt Krishan, Wooten Zeeshan, Dunne Farrell 
02:00:00 AM	,234	        Chanelle Tapia, Shelley Dodson , Valentino Smith
03:00:00 AM	,738   	Conal Walton, Ibrahim Roy, Indiana Moyer, Nola Portillo, Nathanial Barron
04:00:00 AM	,800	        Amirah Schneider,Mylie Schmidt,Suhayb Maguire,Millicent Betts,Avi Graves,Kayan Stuart 
05:00:00 AM	-,348	Amirah Schneider,Nola Portillo, Mylie Schmidt,Suhayb Maguire,Millicent Betts,Avi Graves
06:00:00 AM	,823  	Haley Hall,Heath Medina,Deniz Howarth,Nada Ferreira 
07:00:00 AM	,628	        Mcfadden Wasim, Norman Cooper, Pruitt Krishan, Wooten Zeeshan, Dunne Farrell 
08:00:00 AM	-,383	Chanelle Tapia, Shelley Dodson , Valentino Smith, Mylie Schmidt
09:00:00 AM		        Conal Walton, Ibrahim Roy, Indiana Moyer, Nola Portillo, Nathanial Barron
10:00:00 AM	,273	        Alexandria Arias, Sohail Bain, Ayman Thornton, Jaden Clarkson, Kaidan Sheridan, EllaMay Lowry, Antonina Gilbert
11:00:00 AM	,234	        Chanelle Tapia, Sohail Bain, Ayman Thornton, Jaden Clarkson, Kaidan Sheridan, EllaMay Lowry, Antonina Gilbert
12:00:00 PM	,738	        Conal Walton, Ibrahim Roy, Indiana Moyer, Nola Portillo, Nathanial Barron
01:00:00 PM	,800	        Alexandria Arias, Sohail Bain, Ayman Thornton, Jaden Clarkson, Kaidan Sheridan, EllaMay Lowry, Antonina Gilbert
02:00:00 PM	-,348	Jaden Clarkson, Kaidan Sheridan, Mylie Schmidt 
03:00:00 PM	,383	        Amirah Schneider,Nola Portillo, Mylie Schmidt,Suhayb Maguire,Millicent Betts,Avi Graves,Kayan Stuart 
04:00:00 PM	,273	        Haley Hall,Heath Medina,Deniz Howarth,Nada Ferreira 
05:00:00 PM	,234	        Mcfadden Wasim, Norman Cooper, Pruitt Krishan, Wooten Zeeshan, Dunne Farrell 
06:00:00 PM	,738	        Chanelle Tapia, Shelley Dodson , Valentino Smith
07:00:00 PM	,800	        Eliott Rose, Dwayne Robin, Trixie Velasquez, Jerome Klein ,Rahma Buckley
08:00:00 PM	-,348        Mylie Schmidt, Trixie Velasquez, Jerome Klein ,Rahma Buckley
09:00:00 PM	,823	        Rahma Buckley
10:00:00 PM	,628	        Haley Hall,Heath Medina,Deniz Howarth,Nada Ferreira 
11:00:00 PM	-,383	Mcfadden Wasim, Norman Cooper, Mylie Schmidt
